chapter,chemillusion_start_token,openstax_start_token,length_words,phrase
1,503,3447,8,with the 1s orbital of a hydrogen atom
2,668,2289,8,a double bond to one oxygen and a
3,526,2728,8,find the longest continuous chain of carbon atoms
3,1341,4574,8,methyl groups are as far apart as possible
5,538,1328,8,plane polarized light passes through a solution of
7,307,1907,8,on the same side of the double bond
8,538,4006,8,on the same face of the double bond
11,889,3275,8,the nucleophile does not appear in the rate
12,109,498,9,according to their mass to charge ratio m z
12,885,2002,9,an odd number of nitrogen atoms has an odd
14,1431,1932,8,to 40 c in the presence of hbr
16,426,1104,8,a mixture of concentrated nitric and sulfuric acids
18,954,2814,10,is the total number of atoms in the ring and
18,2329,3240,8,prepared from alkyl halides by sn2 displacement with
20,848,1200,12,a carboxylate ion in which the negative charge is delocalized over two
