chapter,source,asset_id,label,category,asset_type,text_description_present
1,OpenStax,Figure 1.1,"The enzyme HMG-CoA reductase, shown here as a so-called ribbon model, catalyzes a crucial step in the body’s synthesis of cholesterol. Understanding how this enzyme functions has led to the development of drugs credited with saving millions",reaction_mechanism,figure,True
1,OpenStax,Figure 1.2,"Carbon, hydrogen, and other elements commonly found in organic compounds are shown in the colors typically used to represent them.",other,figure,True
1,OpenStax,Figure 1.3,"A schematic view of an atom. The dense, positively charged nucleus contains most of the atom’s mass and is surrounded by negatively charged electrons. The three-dimensional view on the right shows calculated electron-density surfaces. Elect",atomic_orbital,figure,True
1,OpenStax,Figure 1.4,"Representations of s,p, and d orbitals. An s orbital is spherical, a p orbital is dumbbell-shaped, and four of the five d orbitals are cloverleaf-shaped. Different lobes of p orbitals are often drawn for convenience as teardrops, but their ",atomic_orbital,figure,True
1,OpenStax,Figure 1.5,Energy levels of electrons in an atom. The first shell holds a maximum of 2 electrons in one 1s orbital; the second shell holds a maximum of 8 electrons in one 2s and three 2p orbitals; the third shell holds a maximum of 18 electrons in one,atomic_orbital,figure,True
1,OpenStax,Figure 1.6,"Shapes of the 2p orbitals. Each of the three mutually perpendicular, dumbbell-shaped orbitals has two lobes separated by a node. The two lobes have different algebraic signs in the corresponding wave function, as indicated by the different ",atomic_orbital,figure,True
1,OpenStax,Figure 1.7,"A representation of van’t Hoff’s tetrahedral carbon atom. The solid lines represent bonds in the plane of the paper, the heavy wedged line represents a bond coming out of the plane of the page toward the viewer, and the dashed line represen",other,figure,True
1,OpenStax,Figure 1.8,The cylindrical symmetry of the H-H sigma bond in an H2 molecule. The intersection of a plane cutting through the sigma bond is a circle.,molecular_structure,figure,True
1,OpenStax,Figure 1.9,"Relative energy levels of two H atoms and the H2 molecule. The H2 molecule has 436 kJ/mol (104 kcal/mol) less energy than the two separate H atoms, so 436 kJ/mol of energy is released when the H-H bond forms. Conversely, 436 kJ/mol is absor",energy_diagram,figure,True
1,OpenStax,Figure 1.10,A plot of energy versus internuclear distance for two hydrogen atoms. The distance between nuclei at the minimum energy point is the bond length. 1.6 sp3 Hybrid Orbitals and the Structure of Methane The bonding in the hydrogen molecule is f,energy_diagram,figure,True
1,OpenStax,Figure 1.11,"Four sp3 hybrid orbitals, oriented toward the corners of a regular tetrahedron, are formed by the combination of an s orbital and three p orbitals (red/blue). The sp3 hybrids have two lobes and are unsymmetrical about the nucleus, giving th",atomic_orbital,figure,True
1,OpenStax,Figure 1.12,"The structure of methane, showing its 109.5° bond angles. 1.7 sp3 Hybrid Orbitals and the Structure of Ethane The same kind of orbital hybridization that accounts for the methane structure also accounts for the bonding together of carbon at",atomic_orbital,figure,True
1,OpenStax,Figure 1.13,"The structure of ethane. The carbon-carbon bond is formed by sigma overlap of two sp3 hybrid orbitals. For clarity, the smaller",atomic_orbital,figure,True
1,OpenStax,Figure 1.14,"sp2 Hybridization. The three equivalent sp2 hybrid orbitals lie in a plane at angles of 120° to one another, and a single unhybridized p orbital (red/blue) is perpendicular to the sp2 plane. When two carbons with sp2 hybridization approach ",atomic_orbital,figure,True
1,OpenStax,Figure 1.15,"The structure of ethylene. One part of the double bond in ethylene results from sigma (head-on) overlap of sp2 hybrid orbitals, and the other part results from pi (sideways) overlap of unhybridized p orbitals (red/blue). The pi bond has reg",atomic_orbital,figure,True
1,OpenStax,Figure 1.16,"sp Hybridization. The two sp hybrid orbitals are oriented 180° away from each other, perpendicular to the two remaining p orbitals (red/blue).",atomic_orbital,figure,True
1,OpenStax,Figure 1.17,The structure of acetylene. The two carbon atoms are joined by one sp-spsigma bond and two p-ppi bonds.,molecular_structure,figure,True
