chapter,preferred_name,canonical_smiles,chemillusion_source_names,aliases_checked,matched_aliases_in_openstax,identical_molecule_named_in_openstax
1,Acetic acid,CC(=O)O,Acetic acid,Acetic acid,,False
1,Acetylene (ethyne),C#C,Acetylene (ethyne),Acetylene | Acetylene (ethyne) | ethyne,Acetylene,True
1,Ethane,CC,Ethane,Ethane,Ethane,True
1,Ethanol,CCO,Ethanol,Ethanol,Ethanol,True
1,Ethylene (ethene),C=C,Ethylene (ethene),Ethylene | Ethylene (ethene) | ethene,Ethylene,True
2,Hydronium ion,[OH3+],Hydronium ion,Hydronium ion,Hydronium ion,True
2,Methoxide ion,C[O-],Methoxide ion,Methoxide ion,,False
3,"2,2-Dimethylpropane (neopentane)",CC(C)(C)C,"2,2-Dimethylpropane (neopentane)","2,2-Dimethylpropane | 2,2-Dimethylpropane (neopentane) | neopentane","2,2-Dimethylpropane | neopentane",True
3,2-Methylbutane,CCC(C)C,2-Methylbutane,2-Methylbutane,2-Methylbutane,True
3,2-Methylpropane (isobutane),CC(C)C,2-Methylpropane (isobutane),2-Methylpropane | 2-Methylpropane (isobutane) | isobutane,2-Methylpropane | 2-Methylpropane (isobutane) | isobutane,True
3,Acetic acid (a carboxylic acid),CC(=O)O,Acetic acid (a carboxylic acid),Acetic acid | Acetic acid (a carboxylic acid),Acetic acid,True
3,Acetone (a ketone),CC(C)=O,Acetone (a ketone),Acetone | Acetone (a ketone),,False
3,Butane,CCCC,Butane,Butane,Butane,True
3,Ethane,CC,Ethane,Ethane,Ethane,True
3,Ethanol (an alcohol),CCO,Ethanol (an alcohol),Ethanol | Ethanol (an alcohol),Ethanol,True
3,Pentane,CCCCC,Pentane,Pentane,Pentane,True
4,Cyclobutane,C1CCC1,Cyclobutane,Cyclobutane,Cyclobutane,True
4,Cyclohexane,C1CCCCC1,Cyclohexane,Cyclohexane,Cyclohexane,True
4,Cyclopentane,C1CCCC1,Cyclopentane,Cyclopentane,Cyclopentane,True
4,Cyclopropane,C1CC1,Cyclopropane,Cyclopropane,Cyclopropane,True
4,Methylcyclohexane,CC1CCCCC1,Methylcyclohexane,Methylcyclohexane,Methylcyclohexane,True
4,"trans-1,2-Dimethylcyclohexane",C[C@H]1CCCC[C@@H]1C,"trans-1,2-Dimethylcyclohexane","trans-1,2-Dimethylcyclohexane","trans-1,2-Dimethylcyclohexane",True
4,"trans-1,2-Dimethylcyclopentane",C[C@@H]1CCC[C@H]1C,"trans-1,2-Dimethylcyclopentane","trans-1,2-Dimethylcyclopentane","trans-1,2-Dimethylcyclopentane",True
5,(R)-2-Bromobutane,CC[C@@H](C)Br,(R)-2-Bromobutane | Tracing CIP priorities on (R)-2-bromobutane,(R)-2-Bromobutane | Tracing CIP priorities on (R)-2-bromobutane | Tracing CIP priorities on -2-bromobutane,,False
5,"(R)-Bromochlorofluoromethane, the simplest chiral molecule",F[C@H](Cl)Br,"(R)-Bromochlorofluoromethane, the simplest chiral molecule","(R)-Bromochlorofluoromethane, the simplest chiral molecule",,False
5,(R)-Butan-2-ol,CC[C@@H](C)O,(R)-Butan-2-ol,(R)-Butan-2-ol,,False
5,"(R,R)-Tartaric acid",O=C(O)[C@H](O)[C@@H](O)C(=O)O,"(R,R)-Tartaric acid","(R,R)-Tartaric acid",,False
5,"(S)-Bromochlorofluoromethane, the mirror image",F[C@@H](Cl)Br,"(S)-Bromochlorofluoromethane, the mirror image","(S)-Bromochlorofluoromethane, the mirror image",,False
5,(S)-Butan-2-ol,CC[C@H](C)O,(S)-Butan-2-ol,(S)-Butan-2-ol,,False
